domain,label
aacikdeniz-denizbank,phishing
aakbankimiz,phishing
aciikbireysel-denizbank,phishing
aciikbirseysel-denizzbank,phishing
aciikdeniz-denizbank,phishing
aciikdenizi-denizbank,phishing
acik-deniznizbankagiris,phishing
acik-denizim-sube,phishing
acik-denizim,phishing
acik-denizsube,phishing
acikbireysel-denizbankasi,phishing
acikdeniz-bank,phishing
acikdeniz-bireysel,phishing
acikdeniz-cepsubem,phishing
acikdeniz-deniz,phishing
acikdeniz-denizbank-m0bilsubem,phishing
hsbc,benign
acikdeniz-denizbank-mobil,phishing
acikdeniz-denizbanka-cep,phishing
acikdeniz-denizbankmobilsube,phishing
acikdeniz-denizbanktr,phishing
acikdeniz-denizbenk,phishing
acikdeniz-denizbireysel,phishing
acikdeniz-denizebank,phishing
acikdeniz-denizkampanyalari,phishing
acikdeniz-denizlbank,phishing
acikdeniz-denizmobil,phishing
acikdeniz-iadeler-basvurusu,phishing
acikdeniz-internetsube,phishing
acikdeniz-mobil,phishing
acikdeniz-mobilsube,phishing
acikdeniz-onlinesube,phishing
acikdeniz-ramazan,phishing
acikdeniz-subesiz,phishing
acikdenizbank-mobil,phishing
acikdenizbank,phishing
acikdenizbankcep,phishing
acikdenizbankgold,phishing
acikdenizbasvurular,phishing
acikdenizbasvurunumuz-tr,phishing
acikdenizdebireysel,phishing
acikdenizdekampanya,phishing
acikdenizdenizbank,phishing
acikdenizgiris,phishing
acikdenizhediyekampanyasi,phishing
acikdenizi-denizbank,phishing
acikdenizinternet-cepsubesigiris,phishing
acikdenizler-denizbank,phishing
acikdenizonlinebasvuru,phishing
acikdenizonlinesube,phishing
acikdeniztrsube,phishing
acikdeniztrsubetr,phishing
acikdenizz-iadeler,phishing
acikdenz-denzbank,phishing
acikdnz-bireysel,phishing
acikdnz-denizbank,phishing
ackdeniz-denizbank,phishing
acs-yapikredi,phishing
acs-yapkredi,phishing
ak-banksubeniz,phishing
ak-bnk-drekt,phishing
akbaank-bireysel,phishing
akbangirisislem,phishing
akbangirisislemim,phishing
akbangirisislemleri,phishing
akbangirisislemlerimiz,phishing
akbangirisislemleriniz,phishing
